frame_idx	omega0	b0_extracted	u0	u1	u2	u3	u4	u5	u6	u7	chip_g0	chip_g1	chip_g2	chip_u4	chip_u5	chip_u6	chip_c7
66	0.171555	34	567	2920	122	1844	1971	778	761	20	1393	3381	3584	10	2044	606	124
67	0.084197	110	1773	2829	1520	1789	2047	744	1537	60	1390	1853	1902	1484	1364	808	43
68	0.083636	111	1775	2374	3435	1393	2046	748	540	102	1455	1321	3450	820	780	192	60
69	0.083916	110	1773	2924	1451	3704	2046	354	531	84	1454	3293	1517	602	1004	680	81
70	0.084197	110	1773	4000	235	324	2047	1396	1425	92	1454	3558	566	202	755	1697	52
71	0.056163	184	2990	1748	1091	3574	1791	1273	1096	8	1453	3797	3550	466	476	846	60
72	0.056288	184	2991	3104	110	3542	1791	1385	1697	96	1455	1373	1579	170	220	862	80
73	0.084480	109	1773	3891	1459	197	2031	1260	1083	10	1453	3801	3766	1474	1291	1185	8
74	0.171555	34	559	2918	1232	1741	1620	39	249	124	1451	1757	1605	331	1227	1384	104
75	0.164805	37	622	1775	2218	3308	1027	1163	29	10	1449	2022	2436	220	1203	1754	119
76	0.168112	35	558	2284	2559	1035	1617	548	97	70	1512	1387	3159	41	1163	569	104
77	0.168112	35	559	3173	266	1238	1028	1386	449	86	1385	821	3417	82	2044	829	91
78	0.184123	29	481	2017	3798	2304	49	715	1428	114	1448	2731	743	23	235	1866	104
79	0.062287	162	2599	2174	3410	3653	1212	775	1080	36	2213	2264	3619	256	145	478	92
80	0.117718	67	1061	3841	3873	289	4	1298	720	22	1061	1278	2315	278	1363	1765	19
81	0.157572	40	677	3977	2752	3637	1025	1530	189	32	1057	3582	4015	251	835	1882	103
82	0.157572	40	677	653	950	2435	13	589	528	104	2206	3763	2317	199	1793	757	68
83	0.171555	34	543	2171	206	1004	12	1490	1457	28	2857	52	3890	68	656	950	44
84	0.172734	33	551	3942	2205	1718	1033	667	1788	2	1371	4091	1232	200	180	807	92
85	0.164805	37	623	1936	1874	4053	1799	1303	353	50	1439	1354	294	497	307	1737	48
86	0.054107	193	3111	2535	759	2886	2047	1758	1130	122	1507	596	2845	467	1508	885	26
87	0.055176	188	3054	364	3278	2844	1791	1096	1615	48	1514	1213	2746	1739	2003	1193	89
88	0.055542	187	2991	3142	1812	470	1791	1697	1131	14	1453	3437	3569	1755	284	725	6
89	0.083636	111	1772	3441	3304	1317	2045	2018	1024	22	1457	3246	529	628	899	1840	85
90	0.055055	189	3054	3044	3282	972	2047	2041	1863	90	1457	3262	466	876	1923	1744	86
91	0.083916	110	1773	1355	3555	677	2043	1834	1073	124	1457	3805	3780	852	163	1881	90
92	0.163731	37	623	4032	960	3295	1882	206	1456	50	1458	3429	1391	22	1403	1344	107
93	0.168112	35	551	1370	3946	3419	1040	1380	854	126	1569	4058	1754	1487	1849	351	24
94	0.052855	198	3189	604	582	2063	2047	1333	1988	124	1512	741	2383	251	484	804	52
95	0.058928	174	2804	3501	1173	484	2047	1130	1327	28	2159	598	881	82	536	1182	13
96	0.055913	185	2998	2662	2377	2439	2047	1107	935	98	1073	147	2254	308	652	261	95
97	0.064196	156	2549	1025	2029	2664	2047	1100	879	8	1266	3677	1437	287	1244	89	83
98	0.076508	125	2039	684	2460	866	2047	1653	804	50	3062	762	3297	342	666	558	56
99	0.075815	126	2030	1266	1606	1506	2037	1820	616	76	1715	2649	3563	324	1341	693	120
100	0.147406	46	759	1142	3364	657	1921	1832	1529	124	1710	3289	1355	434	1276	1498	94
101	0.146547	46	751	3605	2976	3208	1996	1256	254	52	1710	3414	3960	1357	1636	1205	123
102	0.144857	47	749	3892	3684	1914	2023	1543	529	22	1766	3882	3554	497	211	869	33
103	0.142395	49	807	3222	2284	2678	1900	336	110	98	1765	1877	3676	238	1785	1492	90
104	0.142395	49	805	3892	1318	3569	1871	625	673	2	1762	3837	3991	301	1115	75	31
105	0.142395	49	815	632	567	3565	1876	580	953	122	1766	1226	2163	396	1612	1967	70
106	0.142395	49	813	3362	3740	2871	1977	705	898	98	1770	3684	3036	120	1157	201	127
107	0.140015	50	813	3379	1051	4092	1795	175	587	44	1834	1360	2536	666	1340	1810	1
108	0.135486	53	867	1273	3785	1049	1036	139	496	82	1892	2045	3926	440	621	995	46
109	0.136963	52	871	2278	70	58	1033	939	846	40	1893	619	1055	147	127	518	119
110	0.139240	51	805	3379	2361	643	1024	1846	1395	22	1761	2775	2383	259	370	265	11
111	0.139240	51	797	3616	87	3717	11	157	1114	6	1821	3924	2717	242	1733	372	22
112	0.068388	144	2333	3868	648	2039	1411	1018	899	8	1053	886	2606	85	228	757	99
113	0.116625	68	1117	3969	2582	2805	1024	1531	886	56	1049	3538	654	466	1348	794	19
114	0.155621	41	669	2983	2672	1316	1029	714	1438	122	1049	1959	2494	101	1532	247	111
115	0.156590	41	679	4026	2853	2254	1033	1337	1280	74	1499	3450	2582	287	589	725	27
116	0.151859	43	677	2542	462	623	1759	403	732	118	1635	1714	2974	444	2002	1838	96
117	0.150046	44	741	3399	2031	1229	1737	754	1932	104	1698	1818	2387	1450	1765	91	48
118	0.150947	44	751	3605	3713	564	1729	801	1192	24	1638	1238	2143	221	1788	1809	18
119	0.151859	43	687	4032	10	1087	2007	508	468	86	1639	1121	2805	461	5	803	46
120	0.151859	43	687	3968	834	2163	2031	387	1514	126	1638	3401	4065	372	1834	139	39
121	0.150947	44	751	3617	754	2259	1973	500	1921	0	1638	1886	1503	339	5	826	79
122	0.151859	43	687	3968	599	3114	1961	1534	172	6	1638	1765	2777	461	589	677	11
123	0.150947	44	749	3888	894	3234	2043	54	1777	80	1638	3797	2983	435	1284	1686	39
124	0.151859	43	685	3490	749	4014	2037	318	640	70	1705	3406	1618	115	1394	1146	12
125	0.151859	43	685	4066	199	1823	2025	405	1858	94	1637	3926	566	1522	690	1625	67
126	0.142395	49	797	3996	1478	2675	1069	910	386	42	1702	1494	2472	1109	1962	734	96
127	0.060781	167	2655	2173	3796	635	1569	1279	1447	54	1818	1134	2565	365	483	168	48
128	0.149156	45	725	3889	3729	63	1038	1013	742	90	1493	3496	2363	149	420	1225	58
129	0.148276	45	725	3889	3888	3844	1036	1093	2024	106	1809	3702	705	439	66	1173	35
130	0.150947	44	725	3872	854	1775	1035	1634	952	40	1750	1367	2086	325	1441	1188	124
