frame_idx	omega0	b0_extracted	u0	u1	u2	u3	u4	u5	u6	u7	chip_g0	chip_g1	chip_g2	chip_u4	chip_u5	chip_u6	chip_c7
279	0.177617	31	476	4039	287	2725	18	832	1692	118	2325	1143	3870	390	1712	206	104
280	0.175141	32	551	4064	249	417	1055	1567	776	112	1430	4094	3805	304	284	180	81
281	0.076508	125	2031	2829	2141	2032	2047	1048	1621	98	1575	3400	1010	16	1875	647	121
282	0.151859	43	687	2956	849	2842	1998	1755	967	102	1638	3877	1590	425	756	1992	34
283	0.150046	44	749	3920	1782	2517	2002	1488	508	40	1701	3901	2658	735	750	1369	12
284	0.149156	45	749	3856	2047	2288	2003	503	1381	114	1702	3798	1669	1708	1906	1318	66
285	0.148276	45	743	3696	2613	3969	1998	42	264	114	1701	4029	2302	194	1861	339	114
286	0.150046	44	743	3633	2640	2285	1864	1521	1984	80	1698	3445	2638	484	245	294	114
287	0.150046	44	733	3322	3101	1725	1092	545	583	40	1758	3898	2189	82	1922	1737	81
288	0.153717	42	669	4000	1009	2433	1028	587	73	100	1753	1405	2914	15	812	1834	60
289	0.149156	45	725	4001	1403	302	1037	1921	623	82	3538	1356	3802	434	256	1017	85
290	0.059627	171	2711	2165	1112	4000	1771	1595	1256	118	2326	1878	2209	77	1675	1352	44
291	0.180163	30	481	3311	3506	1171	40	1194	1143	12	1042	3276	3722	276	1340	762	55
292	0.142395	49	822	4004	1615	3081	1034	1139	1789	98	1773	2230	3829	274	838	1213	122
293	0.140800	50	820	3526	67	4026	2030	547	1107	20	1779	270	2807	1454	1722	1251	27
294	0.140800	50	820	3490	3613	3510	1940	113	27	28	1841	3036	3031	1779	748	1725	37
295	0.145697	47	749	3399	3305	3348	1690	251	1711	46	1838	3162	2205	1737	186	744	120
296	0.140015	50	812	3510	815	2252	1222	1833	61	92	1833	2942	3771	779	1364	1777	24
297	0.141593	49	804	1985	1758	4078	1667	517	1869	34	1830	1191	3382	732	1194	1455	45
298	0.140015	50	797	3841	2456	3369	645	588	547	84	2266	1546	912	211	1518	319	100
299	0.055913	185	2967	2174	1459	3832	1727	1881	437	58	1750	1647	2338	421	1230	1416	50
300	0.127254	59	918	1504	2811	1200	6	2043	1116	22	1745	3517	2962	469	699	810	22
301	0.316135	0	30	1912	217	2014	133	1144	51	56	2519	114	1067	393	1397	1066	127
302	0.177617	31	479	3879	1467	3191	1063	1697	1856	78	2261	1790	2600	477	974	1176	109
303	0.149156	45	742	4004	2788	1706	1036	1723	2007	34	1567	3788	3266	281	505	200	116
304	0.151859	43	686	1434	2728	2523	1810	524	1337	102	1638	2403	2003	900	819	1931	15
305	0.143207	48	814	3238	878	3092	1929	1003	1848	120	1705	905	3770	2012	1021	185	99
306	0.146547	46	748	3474	1655	3891	1999	538	1476	12	1706	2399	1443	1973	978	1753	71
307	0.146547	46	748	1494	2031	2392	1871	276	750	124	1705	2645	3451	1995	1500	1709	127
308	0.051449	205	3311	1788	2441	3817	2047	1235	1496	122	1706	1227	1885	1964	242	1209	101
309	0.053191	197	3183	1292	2519	2495	2047	1142	1490	66	1643	1202	2405	1722	1738	1205	69
310	0.206854	21	359	3684	32	2135	30	817	1976	42	1570	3819	1582	337	146	1829	101
311	0.054107	193	3111	2041	2962	975	2045	1204	468	82	1566	3407	1695	498	242	1338	97
312	0.054107	193	3103	3554	1337	1966	2047	1747	779	106	1437	4053	3933	211	2036	806	27
313	0.054935	189	3039	2500	2351	776	1535	1575	1447	2	1434	1918	3185	428	1043	1296	19
314	0.053191	197	3167	2337	3070	2160	1535	1515	1422	18	1501	3919	842	122	1388	1318	107
315	0.158566	40	669	3929	3225	1910	1066	156	1795	104	1561	1407	2797	317	845	1356	28
316	0.156590	41	669	4001	2697	3154	1280	1821	646	106	1561	2994	2674	58	1634	1271	56
317	0.293950	3	21	3591	277	2994	234	1916	38	70	1557	1231	716	749	723	457	97
318	0.157572	40	661	4065	2276	1693	1054	1892	1677	48	1553	793	2103	282	1437	942	81
319	0.300991	2	21	3464	367	1434	183	75	301	68	1042	3686	3658	501	1443	1805	95
320	0.149156	45	733	3382	2621	3196	1036	177	833	2	2580	858	3498	372	298	1684	82
321	0.297429	3	21	3215	292	2381	220	1118	669	78	2710	1391	3724	117	158	318	87
322	0.142395	49	789	3359	1979	2154	1038	863	654	106	1046	3279	1150	74	428	1807	107
323	0.300991	2	21	3970	2070	882	168	2019	553	124	1042	1977	3782	304	1988	741	19
324	0.297429	3	21	3212	1011	3548	180	693	1921	62	1041	1238	2475	75	1724	269	27
325	0.277710	6	87	944	31	798	84	711	992	20	1041	3787	497	205	372	746	107
326	0.139240	51	789	3885	3954	3781	1033	5	1081	14	1041	3295	2123	25	507	1190	75
327	0.308377	1	21	3968	101	3372	169	954	1849	74	1041	3508	2284	328	1323	1799	19
328	0.068388	144	2325	3900	109	1530	1220	341	2008	56	1041	1067	999	203	643	1257	87
329	0.238225	13	214	3397	581	53	43	1909	745	74	1042	3323	400	75	1260	762	99
330	0.312208	1	21	3970	1024	915	131	1871	627	34	1041	1157	3347	41	636	266	115
331	0.308377	1	21	1825	1140	1181	120	711	1979	2	1042	3419	2680	11	316	1814	55
332	0.144027	48	789	3885	467	2074	4	1023	620	56	2317	3267	1357	442	685	1859	14
333	0.125979	60	981	2938	3783	276	1027	1563	408	120	1041	3323	2726	240	1203	1765	91
334	0.124728	61	981	3345	3958	2506	1029	1809	1737	18	1041	1427	1387	106	1884	260	19
335	0.283986	5	86	867	2637	1077	69	882	1780	18	1038	1919	2542	308	563	757	27
336	0.125979	60	981	4020	3471	1200	1094	726	1263	32	1041	1185	3339	210	1852	750	103
337	0.161625	38	598	1976	3264	2628	22	684	338	68	1042	1534	3500	267	1764	245	91
338	0.210316	20	343	3190	8	3005	37	155	740	16	2385	3130	3419	54	1885	1213	50
339	0.277710	6	87	802	758	1523	73	712	1721	100	1037	2919	3485	477	1125	773	31
340	0.208570	21	343	3186	2157	1698	24	112	1822	106	2321	3402	2718	242	135	1663	56
341	0.280813	5	87	928	4002	1218	74	194	1606	42	1041	3234	59	362	1836	841	115
342	0.082810	112	1815	3551	2181	2110	1080	801	1615	40	1041	3927	986	466	1908	837	11
343	0.122300	63	981	950	3383	3785	1031	337	515	94	2326	1279	2159	4	238	367	24
344	0.051239	206	3287	1535	3012	4027	2046	1708	334	28	1045	1344	1423	253	891	234	75
345	0.051449	205	3289	3952	317	1500	1487	1063	1061	58	1042	1245	3596	202	620	762	111
346	0.127254	59	919	3065	28	2597	1039	690	409	102	2581	2931	3830	259	1532	1849	85
347	0.308377	1	21	3214	416	225	157	1971	1997	90	1042	3745	2955	395	1139	1273	87
348	0.283986	5	87	944	3370	3607	86	1815	521	58	1041	3567	3170	453	243	229	51
349	0.312208	1	21	3843	34	2341	137	1011	186	26	1042	1208	2154	195	1339	213	91
350	0.283986	5	87	944	2432	173	79	1086	109	26	1041	1143	4044	194	371	198	23
351	0.113466	71	1109	4035	2696	2143	1029	846	698	78	2449	4095	1317	330	1924	1634	60
352	0.124112	62	981	838	1651	491	6	765	717	60	1045	1445	2026	125	3	1197	107
353	0.121708	64	1053	3970	112	3809	1025	1742	2008	16	1045	2269	1223	285	1172	773	59
354	0.297429	3	29	3590	190	2145	25	252	1998	46	2325	1767	3917	387	1274	594	120
355	0.059206	173	2783	2238	2970	3596	1477	9	1711	42	1049	2746	684	109	1843	1766	75
356	0.051767	203	3231	2224	3694	2812	1479	396	306	94	2329	1263	3239	136	487	776	32
357	0.071501	136	2203	2638	2656	3681	1571	714	1649	48	2201	2720	1780	140	1739	1158	36
358	0.083083	112	1820	1051	3035	3901	544	428	1780	104	1049	1535	3219	364	1301	245	43
359	0.162671	38	606	1721	3523	2065	1041	304	1830	28	2201	861	3233	298	445	1869	0
360	0.293950	3	29	3588	483	3373	181	672	1252	94	1053	1711	2701	90	1827	1790	111
361	0.293950	3	29	3336	1897	1436	208	549	514	54	1053	305	3571	51	739	1806	27
362	0.308377	1	28	1637	3816	3348	229	1403	86	114	1053	1791	1430	8	1827	1274	91
363	0.277710	6	94	961	572	2857	118	594	950	52	1053	3406	2786	206	1907	1290	27
364	0.283986	5	95	896	3593	3589	85	1749	1663	34	2329	562	1681	450	1852	71	54
365	0.283986	5	94	835	3168	1776	42	616	2027	2	1050	1487	783	166	307	1802	43
366	0.308377	1	29	3968	94	3766	12	831	1761	90	2197	2867	2161	468	1821	1238	80
367	0.124112	62	989	3920	3703	1960	1025	756	907	12	3542	3807	2650	469	440	794	122
368	0.124112	62	981	2451	2502	2590	1543	1814	426	28	3606	1247	87	193	931	1561	43
369	0.109990	75	1173	2583	4071	532	1042	362	339	110	2322	1482	4084	395	663	1507	112
370	0.121708	64	1045	3333	3987	2327	1029	657	455	64	1042	3887	3494	261	2045	1286	91
371	0.125350	61	981	3521	248	2089	2	614	450	10	2321	1347	1330	202	459	789	30
372	0.082810	112	1813	3937	4033	253	1224	1722	631	104	1041	3422	2115	148	516	173	39
373	0.308377	1	21	2205	2787	1212	161	543	1696	66	1042	1570	926	340	1660	230	19
374	0.238225	13	214	3810	1440	989	58	1058	1948	90	2193	3419	2398	151	1359	937	70
375	0.308377	1	20	2395	2875	408	172	932	463	34	1041	3582	926	112	1148	249	27
376	0.283986	5	87	944	3617	2187	78	1339	65	66	1041	3151	1461	170	1075	1765	87
377	0.290552	4	87	928	2824	561	76	279	1500	0	1042	1759	907	205	251	1273	87
378	0.308377	1	21	946	1570	2114	152	931	575	34	1041	3257	3121	12	1396	794	103
379	0.308377	1	21	3970	30	606	162	1149	379	18	2322	1211	3502	138	1838	1198	52
380	0.308377	1	21	3970	24	560	116	1381	828	10	1042	2039	3022	58	1491	197	87
381	0.280813	5	86	883	3426	707	75	2025	2018	74	1041	3805	2271	212	1172	266	19
382	0.308377	1	21	3841	596	3867	179	1643	630	114	1041	2754	877	175	859	1781	3
383	0.277710	6	87	566	3266	3515	76	1982	1204	4	2322	1407	3407	147	214	67	30
384	0.051874	203	3223	444	3131	2520	1499	1363	635	14	1038	1599	1589	435	723	1766	35
385	0.051135	206	3285	3067	1233	2745	1535	1414	1477	60	2321	1531	2597	88	670	1746	32
386	0.130560	57	918	1998	2782	724	1282	101	1339	106	1037	3236	2333	484	539	1258	107
387	0.056037	185	2967	3294	1283	2889	1349	321	1607	74	1038	1899	3897	436	1891	1807	47
388	0.112451	72	1173	3978	849	1063	1025	1061	1679	24	1041	829	1414	84	651	1303	47
389	0.051031	207	3283	1182	1595	4024	2047	862	207	102	2194	1755	1318	29	507	285	34
390	0.203504	22	359	3137	2637	902	44	893	1659	116	2144	1837	388	0	287	1320	97
391	0.079913	118	1903	4028	3088	768	1930	1805	1507	52	1519	3413	1895	431	1691	984	23
392	0.148276	45	743	3688	2589	1465	1674	708	1374	74	1643	3938	585	410	192	1232	89
393	0.150046	44	749	3099	402	635	1543	1843	1177	120	1701	2870	1391	197	1738	654	47
394	0.146547	46	743	3808	2101	1499	1669	137	1119	108	1697	4094	3530	115	1001	731	122
395	0.152783	43	685	1534	301	168	1972	757	1208	6	1634	3277	2641	990	813	321	22
396	0.051874	203	3247	1020	1101	3265	1791	1155	1832	62	1642	1738	552	178	532	810	17
397	0.152783	43	685	3570	280	766	1983	309	1446	6	1641	1989	2638	296	1402	1378	2
398	0.148276	45	741	3976	1750	1914	1579	42	1909	34	1641	3925	3237	1128	1676	1976	59
399	0.051031	207	3293	3064	285	2257	1983	1964	453	70	1697	3167	1759	219	1166	1704	60
400	0.051554	204	3295	487	1596	3260	1775	1505	811	72	1626	1527	474	287	364	1887	85
401	0.168112	35	551	2924	156	3128	1557	676	1660	102	1561	3806	71	468	1042	1850	16
402	0.176370	32	559	2476	1197	2846	1756	1638	1830	40	1313	4021	3945	1476	1163	1837	7
403	0.089600	101	1646	1522	2695	1204	2046	1309	487	106	1261	1588	1392	315	1748	1284	90
404	0.089920	100	1646	1211	3476	2703	2047	1112	964	88	1261	1844	2803	1535	1611	1706	71
405	0.091226	98	1582	3856	558	3799	2027	1374	746	52	1262	3797	1672	1986	1748	791	10
406	0.092912	96	1582	1467	2709	963	2030	329	891	88	1266	1458	429	1046	1851	1258	61
407	0.185481	28	500	4069	3345	1151	2011	916	822	16	1262	1850	289	1963	1555	1310	24
408	0.172734	33	551	2892	911	3821	1625	1684	1108	50	1255	1354	459	1427	683	1270	33
409	0.184123	29	486	3957	3331	2260	1071	1446	177	114	1313	3311	2886	100	1139	1832	50
410	0.188260	27	431	1944	1992	1251	1025	1183	1292	94	1249	3928	1771	363	316	236	9
411	0.099143	87	1387	2745	1940	201	2044	1864	245	54	1129	3877	3100	460	843	1912	121
412	0.100330	86	1391	3370	2240	2120	2046	1618	1185	84	1069	1938	2493	365	971	1777	43
413	0.101138	85	1391	117	278	751	2046	1243	1385	114	1069	3893	3554	1986	1732	233	90
414	0.200261	23	375	3430	2224	103	1939	242	1046	46	1070	1865	3761	1456	75	1785	38
415	0.093257	95	1511	2418	1477	2794	1908	653	1836	118	1130	1837	3457	98	700	287	97
416	0.098753	88	1447	442	1676	405	1837	649	1611	80	1122	1639	682	1621	1764	753	115
417	0.101958	84	1389	1338	658	2252	2041	642	1529	112	1066	1340	2369	1227	1115	784	89
418	0.051135	206	3310	500	3677	969	1979	1426	386	84	1009	2992	2722	1683	827	761	38
419	0.201869	23	375	3139	2643	978	1965	556	1316	46	1010	1365	2658	1844	307	1786	43
420	0.181464	30	479	3899	2370	3743	1343	864	1608	108	1130	3946	385	1690	19	1823	13
421	0.203504	22	351	3940	2056	1281	1055	527	526	20	1242	2042	3458	1069	1523	1307	28
422	0.205165	22	359	3104	1402	602	1030	1886	1488	116	1109	1210	950	407	1724	774	126
423	0.191124	26	423	1666	953	2640	1077	1831	1882	124	2600	95	2559	216	656	582	42
424	0.201869	23	355	3682	368	728	56	1682	1422	6	1065	1728	1152	292	115	1250	43
425	0.210316	20	356	3521	2764	812	63	427	1332	72	1065	1319	4006	74	2019	855	43
426	0.186861	28	492	817	3701	2443	557	1368	468	40	1064	2743	112	245	1947	1226	107
427	0.180163	30	501	3036	2356	3164	1575	599	1879	52	1389	2671	589	118	443	1849	13
428	0.175141	32	564	2987	3189	837	1823	1771	1894	56	1399	3288	1850	90	1003	1321	56
429	0.164805	37	631	414	1866	2387	1811	1909	341	50	1399	1062	3417	20	620	853	42
430	0.055665	186	2990	3444	3166	2462	2047	1664	829	12	1458	3645	2621	254	332	951	76
431	0.083083	112	1837	2535	1143	2876	2047	1535	1187	32	1455	1582	95	437	1996	89	57
432	0.166995	36	623	1434	1908	3901	1941	1878	538	24	1455	1354	261	180	731	1961	109
433	0.158566	40	677	4025	2704	3364	1160	1615	1743	96	1510	3964	3425	477	188	167	37
434	0.154663	42	669	3888	1951	3211	1049	849	1579	108	1565	2016	4019	312	1515	1484	64
435	0.158566	40	679	1928	798	2426	1810	702	900	112	1565	3161	1298	172	770	329	25
436	0.156590	41	685	4064	214	1426	1826	543	1317	106	1570	3415	3060	1805	1795	1092	86
437	0.151859	43	677	3506	691	1974	1599	628	279	46	1637	3396	3553	885	2005	811	25
438	0.146547	46	733	4012	3405	3867	1582	573	1540	28	1698	1989	839	317	502	1912	79
439	0.147406	46	733	3964	134	1248	1155	1184	1517	4	1753	4063	1190	114	1349	376	81
440	0.159573	39	598	2008	1008	1100	1055	1085	1841	46	1745	731	1099	462	234	1260	115
441	0.146547	46	725	3952	2609	3782	1038	49	1147	84	1426	3236	1746	444	1660	358	15
442	0.168112	35	556	1521	2423	3876	1040	1320	1233	126	1425	1994	3189	371	643	1752	83
443	0.166995	36	623	3789	744	3633	1177	1558	445	96	1512	54	3654	222	1533	1368	31
444	0.150046	44	757	3877	1538	3464	1689	1813	1423	32	1651	3908	1773	294	1909	1236	121
445	0.149156	45	758	1760	607	2538	1931	1487	970	98	1650	3655	2937	291	1873	1341	27
446	0.150947	44	759	1652	38	1489	1962	1696	15	16	1714	2639	2725	402	348	1209	32
447	0.155621	41	687	988	87	3724	1598	1359	31	50	1650	3295	761	172	132	1703	94
448	0.151859	43	679	4034	118	1672	1302	1365	1541	110	1646	1862	3745	538	1450	1191	37
449	0.150046	44	733	1860	835	2965	522	272	1892	32	1693	4031	2615	202	1915	1738	9
450	0.150947	44	733	3968	1534	1695	1546	1914	474	96	1497	2622	2469	146	723	1184	42
451	0.155621	41	669	2550	282	608	1558	476	1218	66	1689	4046	3819	124	1166	1879	124
452	0.157572	40	669	3969	2704	3330	1055	1749	1598	24	1689	1238	3701	484	1795	707	72
453	0.227446	16	286	3872	2876	2165	71	2013	1770	64	1693	511	3220	103	1138	216	72
454	0.083359	111	1767	1583	2550	1855	2034	599	1941	86	2975	3120	885	1438	834	1127	78
455	0.129217	58	926	1958	865	3191	1028	1996	584	108	2662	624	2589	100	756	1936	74
456	0.056542	183	2924	2831	3981	1234	2029	1651	1737	38	2778	1995	519	124	1016	928	18
457	0.055665	186	2990	755	2683	3497	2047	1786	615	36	3950	54	2230	383	983	406	15
458	0.154663	42	687	2008	2344	396	1851	604	332	116	1071	1361	3736	101	2044	761	79
459	0.150947	44	743	3633	882	2498	1805	1520	756	56	1638	4022	3470	286	859	838	6
460	0.144857	47	741	3383	2219	2021	1804	589	154	102	1697	1533	803	926	819	195	95
461	0.148276	45	741	3426	2300	1092	1160	1726	1513	122	1761	3323	2444	876	181	1371	80
462	0.146547	46	751	1649	2513	2502	1954	445	665	20	1701	1405	1131	85	218	1060	75
463	0.151859	43	687	2534	346	1772	1927	5	1589	54	1699	3269	1394	384	1485	193	81
464	0.150947	44	743	3079	3785	3037	1964	285	1260	24	1639	1326	1679	247	37	164	11
465	0.148276	45	743	3732	2373	2512	1899	268	578	26	1699	1213	3766	469	730	1915	73
466	0.146547	46	735	3764	1154	1828	1806	1866	250	44	1694	3932	3912	307	187	685	115
467	0.144027	48	797	4089	27	1800	1538	1084	590	56	1753	4042	2786	113	796	1703	59
468	0.143207	48	797	4005	3136	1880	1541	1541	1591	32	1749	1405	3950	323	1962	1819	83
469	0.144027	48	807	346	2428	2789	1899	43	1979	104	1759	1562	1245	59	1813	277	76
470	0.143207	48	814	1780	2823	3393	2004	566	1059	8	1767	2612	2478	65	60	1123	0
471	0.143207	48	813	1872	406	2900	2031	751	1090	120	1769	2174	2339	1693	284	1255	82
472	0.141593	49	813	1398	3340	3970	2028	737	1073	122	1833	2778	1820	951	211	403	100
473	0.141593	49	813	1394	3612	2654	1903	987	869	34	1834	3293	3888	1796	138	21	60
474	0.146547	46	751	1078	3341	3685	1799	34	1101	68	1769	3162	2159	1972	1084	2000	67
475	0.087115	105	1709	991	298	495	2031	281	791	58	1702	3163	350	400	1237	216	26
476	0.215732	19	295	2921	1434	683	1036	231	471	46	1507	1647	2637	444	492	1223	40
477	0.188260	27	422	3492	1863	113	46	628	279	54	995	1742	3947	17	355	1768	56
478	0.201869	23	351	3846	1819	3505	1085	202	939	14	1057	2653	1103	306	1188	169	127
479	0.205165	22	351	3910	817	2196	1072	1781	1042	52	1055	3879	4069	151	1139	838	105
480	0.092912	96	1566	483	2574	1631	1992	1050	1071	56	1114	1918	3429	500	691	1766	17
481	0.188260	27	415	3909	669	3549	1321	675	462	22	1182	3391	1002	35	2004	794	45
482	0.188260	27	415	1682	2985	873	1030	387	1665	110	1172	3583	2337	401	1347	1770	92
483	0.184123	29	478	3910	271	3109	1038	960	758	34	1300	2707	431	114	1596	853	127
484	0.066226	150	2389	1407	2587	319	1344	814	537	52	2322	1402	526	480	1252	187	80
485	0.066401	150	2389	3644	1381	809	1025	617	1636	20	1046	1189	3882	22	508	774	19
486	0.192588	26	406	1952	3852	1591	41	1548	1266	116	1040	3451	4018	473	251	805	87
487	0.123502	62	981	3992	3520	2197	37	181	1271	124	2322	1245	2262	206	339	990	90
488	0.280813	5	86	835	3916	3634	71	1425	1012	114	1042	1243	2714	140	1324	1784	27
489	0.277710	6	87	802	2669	3199	81	461	1779	68	1037	1470	3915	482	1907	1765	39
490	0.308377	1	21	3968	2932	45	155	140	1497	106	2321	3415	1444	270	1901	1737	64
491	0.133330	55	855	2097	989	3006	7	1351	1569	30	1042	1743	2973	9	1907	1269	55
492	0.277710	6	87	928	2860	2061	87	491	1130	116	1042	819	1111	111	1884	1210	35
493	0.277710	6	87	945	532	495	74	1098	84	60	1041	3117	3573	172	780	777	107
494	0.280813	5	87	944	29	893	80	1226	1283	10	1041	2935	2331	221	204	741	91
495	0.277710	6	87	692	154	2853	86	720	327	60	1041	3257	1929	244	1604	793	119
496	0.290552	4	87	928	572	362	83	99	2004	64	1042	1134	2214	162	300	246	27
497	0.290552	4	87	896	1716	417	55	1138	1226	40	1037	3546	869	459	524	777	71
498	0.134760	54	855	2293	3533	2338	1035	109	2034	36	1041	3407	1319	84	1788	282	39
499	0.122300	63	981	1413	3583	2594	1027	649	1475	6	1041	1874	2635	11	1532	762	115
500	0.308377	1	21	3464	366	1325	109	171	56	10	2446	719	3933	464	1867	585	84
501	0.062597	161	2583	3448	1814	3600	1948	564	66	2	1041	3775	285	77	1524	790	87
502	0.277710	6	87	818	2157	3694	65	329	1956	68	1042	1779	2366	84	1211	1283	39
503	0.122300	63	981	4060	3157	1149	5	908	771	46	1041	3428	3994	189	252	851	107
504	0.083083	112	1815	3985	3277	1074	1827	686	1535	104	1042	1843	1761	385	1732	756	19
505	0.233793	14	214	3937	1171	650	69	248	2032	84	1042	2795	282	205	628	285	119
506	0.116087	69	1109	4035	974	2588	1029	751	49	114	2449	3542	3614	231	1391	867	40
507	0.287231	4	86	993	637	2868	84	1375	344	56	1042	1229	3406	332	1219	1802	11
508	0.280813	5	87	928	2572	3709	65	742	970	50	2192	3387	558	115	1470	1174	72
509	0.290552	4	86	993	2595	2245	42	614	1851	8	1042	1735	168	109	419	1273	111
510	0.277710	6	87	676	2698	2638	34	200	1191	12	1041	3578	907	83	1228	740	71
511	0.308377	1	21	2708	706	3879	155	1571	1706	18	2193	1239	3766	67	386	1330	24
512	0.120541	65	1045	4011	820	3953	1029	1342	377	50	1042	3359	2445	139	859	1766	91
513	0.277710	6	87	928	2567	1204	78	1526	1494	28	1041	4074	481	333	403	1257	39
514	0.277710	6	87	770	1110	1947	127	251	1589	84	1040	2609	2597	336	876	762	103
515	0.283986	5	87	896	3589	2302	89	418	666	90	1042	1359	773	267	1364	796	75
516	0.101138	85	1367	3673	624	1251	1569	1274	1583	34	1040	3421	2347	493	1348	751	39
517	0.308377	1	20	3905	2682	1177	178	338	355	114	1043	1735	3761	438	332	737	39
518	0.308377	1	21	3970	34	209	225	355	1371	66	2321	810	1060	181	1166	1458	123
519	0.308377	1	21	3970	2098	2384	88	697	988	26	1042	1403	3999	228	340	248	59
520	0.308377	1	21	694	1702	2376	168	634	119	42	1042	3358	3725	335	1379	1766	39
521	0.308377	1	21	3589	216	1806	195	1640	950	82	2325	1115	1870	188	1340	1363	110
522	0.290552	4	86	993	2987	56	68	251	88	48	1041	4086	3257	449	331	1273	107
523	0.280813	5	87	944	276	4014	95	112	504	122	1041	1338	906	210	1940	793	39
524	0.297429	3	21	1827	1076	12	182	102	1842	6	1042	1855	3371	82	2027	776	103
525	0.290552	4	87	944	23	492	90	1513	694	32	1041	2812	2321	150	676	265	23
526	0.120541	65	1045	4035	2760	3148	517	541	1556	66	1037	1202	2940	445	332	742	107
527	0.079660	118	1877	2821	3955	1267	1518	571	1551	60	1041	3967	2123	71	228	794	75
528	0.130560	57	918	2030	3137	2415	1317	464	300	42	2386	1199	3361	85	1874	772	58
529	0.308377	1	21	3591	182	1224	182	285	1105	114	1042	3449	2857	42	668	757	103
530	0.058516	175	2775	3901	3622	3240	1971	559	701	22	1036	3215	71	477	1691	1221	107
531	0.116087	69	1109	1811	3271	1476	0	832	738	26	1041	1187	746	76	1891	1786	27
532	0.293950	3	21	3215	1451	2449	143	1315	967	86	2322	2007	3299	59	1905	508	44
533	0.308377	1	21	2708	730	1774	90	1473	1789	122	1042	1755	3464	76	1196	1267	79
534	0.138472	51	789	3134	3628	1803	5	1588	690	6	1037	4057	1699	464	372	756	95
535	0.051031	207	3287	3066	1569	3538	1471	1360	1907	14	1037	2638	2833	469	1459	1802	87
536	0.051554	204	3285	3005	3090	3705	1791	1359	701	56	2317	3767	3296	331	1601	1586	0
537	0.125350	61	981	3355	2910	2939	1037	138	1765	114	1037	3835	3910	460	299	809	51
538	0.051031	207	3285	2938	3154	2954	2047	1586	497	118	1041	3439	2686	85	1116	1812	87
539	0.129885	57	918	2012	205	1309	3	253	112	74	2189	3210	3421	452	1588	1916	104
540	0.121122	64	1045	3461	2961	2318	2	1236	190	32	1042	2047	2357	18	1916	1285	35
541	0.127254	59	918	1975	932	1435	1026	339	873	62	1041	3155	799	48	1812	773	103
542	0.188260	27	407	1936	495	821	1060	1083	1329	86	1037	2891	3337	399	1235	1301	91
543	0.143207	48	788	3247	2905	1679	142	1188	1104	48	1042	1212	1974	44	1275	888	123
544	0.051554	204	3310	109	2311	3735	2047	1163	807	16	2385	3455	2762	12	47	1624	26
545	0.171555	34	551	4013	1327	885	1183	1	1191	36	1501	1824	361	267	1259	1326	104
546	0.161625	38	623	3912	3035	1028	1571	321	50	44	1579	2008	3838	1342	533	329	25
547	0.169244	35	559	2415	2236	77	1899	1159	1490	78	1510	4043	2867	514	596	194	23
548	0.086219	106	1709	4086	3848	2816	2039	97	1693	52	1381	3892	2623	1346	2011	705	43
549	0.177617	31	500	4069	3094	3907	1987	1290	776	94	1389	3685	1472	1635	1379	1724	89
550	0.184123	29	502	3956	2055	1	2004	1865	1473	114	1257	3377	1580	2028	1748	742	50
551	0.094307	94	1516	2029	3243	482	2047	695	1213	84	1262	1369	1519	1770	1275	1302	68
552	0.185481	28	493	4005	3730	3187	1640	1736	931	8	1258	3561	3560	2004	60	789	68
553	0.171555	34	559	2159	2341	1133	1609	1545	1977	4	1253	1741	2319	463	195	1766	102
554	0.166995	36	614	1699	1339	2494	1053	1153	168	88	1380	2938	2770	439	676	296	42
555	0.166995	36	606	1848	3471	2212	18	219	611	48	993	856	285	468	290	743	21
556	0.180163	30	479	3894	25	2623	1027	497	550	28	1430	1918	3721	503	1723	1225	56
557	0.176370	32	543	2159	2489	3625	1036	1047	817	32	1363	1885	1747	492	1348	837	117
558	0.170391	34	558	1233	3050	2420	1027	824	1094	68	2980	219	2609	318	128	604	11
559	0.180163	30	503	3622	2919	3235	1030	1305	1025	52	1386	4032	2852	136	939	953	58
560	0.054577	191	3055	883	2742	3021	2047	1585	1603	70	1455	1560	307	343	635	805	17
561	0.053531	195	3119	2668	4058	806	2047	1118	991	30	1517	3999	1721	1771	1698	322	99
562	0.053191	197	3182	2408	31	2269	2047	1217	1157	90	1582	1713	2726	1678	1764	1192	4
563	0.053417	196	3183	2442	3432	201	2047	1419	52	64	1582	974	539	1868	1395	690	20
564	0.157572	40	687	3470	589	1291	1927	1609	176	104	1577	3941	2758	2024	1101	215	21
565	0.149156	45	741	3131	3608	499	1030	1927	275	34	1634	1517	1609	282	1709	242	84
566	0.153717	42	677	3531	2520	62	1170	860	1305	100	1692	3327	3494	498	1219	1301	117
567	0.150947	44	749	3968	3517	1529	1666	806	1703	96	1638	1809	2588	247	1484	1626	124
568	0.149156	45	749	3969	3537	628	1664	1835	157	98	1642	1853	1874	238	1588	806	110
569	0.145697	47	741	3876	1006	3916	1675	1098	1436	22	1702	1865	2429	1156	277	197	2
570	0.158566	40	667	1897	1513	266	7	747	960	24	1756	3431	2191	369	1891	1482	1
571	0.150947	44	733	3239	2152	1149	1032	1714	409	40	1560	1106	3665	70	382	1839	48
572	0.149156	45	739	3953	3744	1226	1026	1720	1457	18	1949	3918	2630	66	1298	1245	61
573	0.146547	46	739	1398	3685	4067	1030	70	16	12	2208	1340	158	176	470	1780	114
